観測所番号,都道府県,地点,国際地点番号,現在時刻(年),現在時刻(月),現在時刻(日),現在時刻(時),現在時刻(分),4日の値(mm),4日の値の品質情報,月平年比(%),8月の平年値,月平年値の品質情報,極値更新,10年未満での極値更新,3日までの観測史上1位の値(mm),3日までの観測史上1位の値の品質情報,3日までの観測史上1位の値の年,3日までの観測史上1位の値の月,3日までの観測史上1位の値の日,3日までの8月の1位の値(mm),3日までの8月の1位の値の品質情報,3日までの8月の1位の値の年,3日までの8月の1位の値の月,3日までの8月の1位の値の日,統計開始年
11001,北海道 宗谷地方,宗谷岬（ソウヤミサキ）,,2025,08,04,23,00,0.0,5,,126.5,8,,,143.0,8,2020,08,07,143.0,8,2020,08,07,1978
11016,北海道 宗谷地方,稚内（ワッカナイ）,47401,2025,08,04,23,00,0.5,5,0,123.1,8,,,192.0,8,2016,09,06,150.5,8,2020,08,07,1938
11046,北海道 宗谷地方,礼文（レブン）,,2025,08,04,23,00,4.0,5,3,138.6,8,,,164.0,8,2020,08,07,164.0,8,2020,08,07,2003
11061,北海道 宗谷地方,声問（コエトイ）,,2025,08,04,23,00,0.0,5,,113.4,8,,,152.0,8,2016,09,06,102.0,8,2020,08,07,2003
11076,北海道 宗谷地方,浜鬼志別（ハマオニシベツ）,,2025,08,04,23,00,0.0,5,,125.7,8,,,139.5,8,2015,07,13,117,8,1981,08,05,1978
11091,北海道 宗谷地方,本泊（モトドマリ）,,2025,08,04,23,00,1.0,5,1,138.0,8,,,176.0,8,2016,09,06,150.5,8,2014,08,11,2003
11121,北海道 宗谷地方,沼川（ヌマカワ）,,2025,08,04,23,00,0.0,5,,125.5,8,,,106.0,8,2012,09,19,98.0,8,2020,08,07,1977
11151,北海道 宗谷地方,沓形（クツガタ）,,2025,08,04,23,00,1.0,5,1,118.2,8,,,167.0,8,2016,09,06,96.0,8,2020,08,07,1976
11176,北海道 宗谷地方,豊富（トヨトミ）,,2025,08,04,23,00,0.5,5,0,120.9,8,,,110.5,8,2014,08,24,110.5,8,2014,08,24,1976
11206,北海道 宗谷地方,浜頓別（ハマトンベツ）,,2025,08,04,23,00,0.0,5,,118.9,8,,,115,8,1981,08,05,115,8,1981,08,05,1976
11276,北海道 宗谷地方,中頓別（ナカトンベツ）,,2025,08,04,23,00,0.0,5,,145.5,8,,,121.5,8,2015,10,08,116,8,1981,08,05,1976
11291,北海道 宗谷地方,北見枝幸（キタミエサシ）,47402,2025,08,04,23,00,0.0,5, ,141.4,8,,,134.0,8,2001,09,10,123.5,8,1981,08,05,1942
11316,北海道 宗谷地方,歌登（ウタノボリ）,,2025,08,04,23,00,0.0,5,,149.4,8,,,145,8,2001,09,10,112.0,8,2016,08,08,1976
13011,北海道 宗谷地方,幌延（ホロノベ）,,2025,08,04,23,00,0.0,5,,129.5,8,,,100.5,8,2014,08,24,100.5,8,2014,08,24,2006
12011,北海道 上川地方,中川（ナカガワ）,,2025,08,04,23,00,0.0,5,,151.3,8,,,167.0,8,2022,08,08,167.0,8,2022,08,08,1977
12041,北海道 上川地方,音威子府（オトイネップ）,,2025,08,04,23,00,0.0,5,,163.9,8,,,157.5,8,2022,08,08,157.5,8,2022,08,08,1978
12066,北海道 上川地方,小車（オグルマ）,,2025,08,04,23,00,0.0,5,,168.8,8,,,138,8,2006,10,08,109.0,8,2014,08,05,2006
12141,北海道 上川地方,美深（ビフカ）,,2025,08,04,23,00,2.5,5,2,131.6,8,,,115.5,8,2014,08,05,115.5,8,2014,08,05,1976
12181,北海道 上川地方,名寄（ナヨロ）,,2025,08,04,23,00,0.0,5,,136.1,8,,,117.0,8,2010,07,29,115.0,8,2014,08,05,1976
12217,北海道 上川地方,西風連（ニシフウレン）,,2025,08,04,23,00,0.0,5,,156.3,8,,,132.5,8,2011,09,02,131.5,8,2023,08,05,2006
12231,北海道 上川地方,下川（シモカワ）,,2025,08,04,23,00,0.0,5,,143.6,8,,,169,8,1981,08,04,169,8,1981,08,04,1976
12256,北海道 上川地方,剣淵（ケンブチ）,,2025,08,04,23,00,0.0,5,,159.6,8,,,147.0,8,2011,09,02,140.5,8,2016,08,20,2006
12261,北海道 上川地方,士別（シベツ）,,2025,08,04,23,00,0.0,5,,152.3,8,,,153,8,1981,08,04,153,8,1981,08,04,1976
12266,北海道 上川地方,朝日（アサヒ）,,2025,08,04,23,00,0.0,5,,149.1,8,,,168,8,1981,08,04,168,8,1981,08,04,1976
12301,北海道 上川地方,和寒（ワッサム）,,2025,08,04,23,00,0.0,5,,140.9,8,,,151,8,1981,08,04,151,8,1981,08,04,1977
12386,北海道 上川地方,江丹別（エタンベツ）,,2025,08,04,23,00,0.0,5,,158.8,8,,,180.5,8,2024,07,24,140,8,1981,08,04,1977
12396,北海道 上川地方,比布（ピップ）,,2025,08,04,23,00,0.0,5,,154.1,8,,,165.5,8,2024,07,24,154,8,1981,08,04,1976
12411,北海道 上川地方,上川（カミカワ）,,2025,08,04,23,00,0.0,5,,177.5,8,,,146.0,8,2016,08,20,146.0,8,2016,08,20,1976
12442,北海道 上川地方,旭川（アサヒカワ）,47407,2025,08,04,23,00,0.0,5, ,152.9,8,,,184.2,8,1955,08,17,184.2,8,1955,08,17,1888
12451,北海道 上川地方,東川（ヒガシカワ）,,2025,08,04,23,00,0.0,5,,157.9,8,,,143.5,8,2016,08,20,143.5,8,2016,08,20,1977
12457,北海道 上川地方,瑞穂（ミズホ）,,2025,08,04,23,00,0.0,5,,182.1,8,,,151.0,8,2011,09,02,124.5,8,2016,08,20,1984
12471,北海道 上川地方,層雲峡（ソウウンキョウ）,,2025,08,04,23,00,0.0,5,,192.6,8,,,195,8,1981,08,05,195,8,1981,08,05,1976
12501,北海道 上川地方,東神楽（ヒガシカグラ）,,2025,08,04,23,00,0.0,5,,159.8,8,,,125.5,8,2016,08,20,125.5,8,2016,08,20,2003
12512,北海道 上川地方,志比内（シビナイ）,,2025,08,04,23,00,0.0,5,,179.9,8,,,151.0,8,2011,09,02,139,8,1994,08,12,1993
12551,北海道 上川地方,美瑛（ビエイ）,,2025,08,04,23,00,0.0,5,,168.3,8,,,145.0,8,2016,08,20,145.0,8,2016,08,20,1976
12596,北海道 上川地方,上富良野（カミフラノ）,,2025,08,04,23,00,0.0,5,,166.8,8,,,205,8,1981,08,05,205,8,1981,08,05,1977
12607,北海道 上川地方,白金（シロガネ）,,2025,08,04,23,00,0.0,5,,218.8,8,,,180.0,8,2016,08,23,180.0,8,2016,08,23,1984
12626,北海道 上川地方,富良野（フラノ）,,2025,08,04,23,00,0.0,5,,168.6,8,,,193,8,1981,08,05,193,8,1981,08,05,1976
12632,北海道 上川地方,麓郷（ロクゴウ）,,2025,08,04,23,00,0.0,5,,165.6,8,,,172,8,1981,08,05,172,8,1981,08,05,1978
12686,北海道 上川地方,金山（カナヤマ）,,2025,08,04,23,00,0.0,5,,208.7,8,,,133,8,2006,08,18,133,8,2006,08,18,2006
12691,北海道 上川地方,幾寅（イクトラ）,,2025,08,04,23,00,0.0,5,,187.0,8,,,168.0,8,2016,08,30,168.0,8,2016,08,30,1977
12746,北海道 上川地方,占冠（シムカップ）,,2025,08,04,23,00,0.0,5,,216.4,8,,,236,8,2003,08,09,236,8,2003,08,09,1977
15041,北海道 上川地方,朱鞠内（シュマリナイ）,,2025,08,04,23,00,2.0,5,1,180.2,8,,,149,8,1991,09,06,147.0,8,2014,08,05,1978
15076,北海道 上川地方,幌加内（ホロカナイ）,,2025,08,04,23,00,0.0,5,,161.4,8,,,160.0,8,2011,09,02,139.5,8,2016,08,20,1976
13061,北海道 留萌地方,天塩（テシオ）,,2025,08,04,23,00,0.0,5,,123.5,8,,,139,8,1976,08,28,139,8,1976,08,28,1976
13086,北海道 留萌地方,遠別（エンベツ）,,2025,08,04,23,00,0.0,5,,142.5,8,,,219.0,8,2022,08,08,219.0,8,2022,08,08,1976
13121,北海道 留萌地方,初山別（ショサンベツ）,,2025,08,04,23,00,0.0,5,,136.1,8,,,156.5,8,2022,08,08,156.5,8,2022,08,08,1977
13146,北海道 留萌地方,焼尻（ヤギシリ）,,2025,08,04,23,00,0.0,5,,118.2,8,,,163,8,1982,08,21,163,8,1982,08,21,1977
13181,北海道 留萌地方,羽幌（ハボロ）,47404,2025,08,04,23,00,0.0,5, ,136.6,8,,,140.0,8,1975,09,08,135.1,8,1945,08,27,1921
13206,北海道 留萌地方,古丹別（コタンベツ）,,2025,08,04,23,00,0.0,5,,124.5,8,,,133,8,1978,08,10,133,8,1978,08,10,1976
13261,北海道 留萌地方,達布（タップ）,,2025,08,04,23,00,0.0,5,,167.8,8,,,154,8,1981,08,05,154,8,1981,08,05,1977
13277,北海道 留萌地方,留萌（ルモイ）,47406,2025,08,04,23,00,0.0,5, ,126.6,8,,,147.5,8,1973,08,18,147.5,8,1973,08,18,1943
13311,北海道 留萌地方,増毛（マシケ）,,2025,08,04,23,00,0.0,5,,121.6,8,,,139.0,8,2011,09,02,128,8,1981,08,05,1976
13321,北海道 留萌地方,幌糠（ホロヌカ）,,2025,08,04,23,00,0.0,5,,135.4,8,,,218,8,1988,08,25,218,8,1988,08,25,1977
14026,北海道 石狩地方,浜益（ハママス）,,2025,08,04,23,00,0.0,5,,135.5,8,,,182.0,8,2011,09,02,108,8,1981,08,04,1977
14071,北海道 石狩地方,厚田（アツタ）,,2025,08,04,23,00,0.0,5,,141.8,8,,,136,8,1981,08,04,136,8,1981,08,04,1977
14101,北海道 石狩地方,新篠津（シンシノツ）,,2025,08,04,23,00,0.0,5,,143.4,8,,,173,8,1981,08,04,173,8,1981,08,04,1976
14116,北海道 石狩地方,山口（ヤマグチ）,,2025,08,04,23,00,0.0,5,,122.0,8,,,159,8,1981,08,23,159,8,1981,08,23,1976
14121,北海道 石狩地方,石狩（イシカリ）,,2025,08,04,23,00,0.0,5,,129.4,8,,,93,8,1992,09,01,73.5,8,2016,08,17,1990
