観測所番号,都道府県,地点,国際地点番号,現在時刻(年),現在時刻(月),現在時刻(日),現在時刻(時),現在時刻(分),4日の最大値(m/s),4日の最大値の品質情報,4日の最大値観測時の風向,4日の最大値観測時の風向の品質情報,4日の最大値起時（時）,4日の最大値起時（分）,4日の最大値起時の品質情報,極値更新,10年未満での極値更新,3日までの観測史上1位の値(m/s),3日までの観測史上1位の値の品質情報,3日までの観測史上1位の値観測時の風向,3日までの観測史上1位の値観測時の風向の品質情報,3日までの観測史上1位の値観測時の年,3日までの観測史上1位の値観測時の月,3日までの観測史上1位の値観測時の日,3日までの8月の1位の値（m/s）,3日までの8月の1位の値の品質情報,3日までの8月の1位の値観測時の風向,3日までの8月の1位の値観測時の風向の品質情報,3日までの8月の1位の値観測時の年,3日までの8月の1位の値観測時の月,3日までの8月の1位の値観測時の日,統計開始年
11001,北海道宗谷地方,宗谷岬（ソウヤミサキ）,,2025,08,04,23,00,11.9,5,東南東,5,01,43,5,,,42.5,8,西,8,2019,01,16,28.9,8,東,8,2016,08,30,2008
11016,北海道宗谷地方,稚内（ワッカナイ）,47401,2025,08,04,23,00,12.6,5,南西,5,20,29,5,,,44.9,8,西南西,8,1995,11,08,34.0,8,南,8,1981,08,23,1940
11046,北海道宗谷地方,礼文（レブン）,,2025,08,04,23,00,12.5,5,南西,5,20,52,5,,,39.7,8,南西,8,2015,10,02,24.7,8,東,8,2016,08,30,2008
11061,北海道宗谷地方,声問（コエトイ）,,2025,08,04,23,00,12.9,5,南,5,13,28,5,,,41.7,8,南西,8,2015,10,02,27.8,8,南南西,8,2023,08,17,2009
11076,北海道宗谷地方,浜鬼志別（ハマオニシベツ）,,2025,08,04,23,00,10.5,5,南東,5,00,40,5,,,33.4,8,西南西,8,2021,02,16,26.2,8,東,8,2016,08,30,2008
11091,北海道宗谷地方,本泊（モトドマリ）,,2025,08,04,23,00,15.4,5,南南西,5,17,14,5,,,43.7,8,南西,8,2015,10,02,28.8,8,南,8,2009,08,21,2009
11121,北海道宗谷地方,沼川（ヌマカワ）,,2025,08,04,23,00,9.2,5,南,5,16,18,5,,,32.4,8,南南西,8,2015,10,02,25.8,8,南南西,8,2023,08,17,2009
11151,北海道宗谷地方,沓形（クツガタ）,,2025,08,04,23,00,11.4,5,南南西,5,14,13,5,,,36.0,8,南南西,8,2015,10,02,27.7,8,南,8,2023,08,17,2008
11176,北海道宗谷地方,豊富（トヨトミ）,,2025,08,04,23,00,9.3,5,南南西,5,10,56,5,,,31.6,8,南南西,8,2015,10,02,23.3,8,東北東,8,2016,08,30,2008
11206,北海道宗谷地方,浜頓別（ハマトンベツ）,,2025,08,04,23,00,7.1,5,東北東,5,11,06,5,,,30.7,8,南南西,8,2015,10,02,23.7,8,東,8,2016,08,31,2008
11276,北海道宗谷地方,中頓別（ナカトンベツ）,,2025,08,04,23,00,6.2,5,西南西,5,12,25,5,,,31.8,8,南西,8,2015,10,02,23.8,8,東,8,2016,08,31,2008
11291,北海道宗谷地方,北見枝幸（キタミエサシ）,47402,2025,08,04,23,00,6.5,5,東南東,5,00,44,5,,,45.6,8,南西,8,2004,09,08,32.1,8,南西,8,1981,08,23,1952
11316,北海道宗谷地方,歌登（ウタノボリ）,,2025,08,04,23,00,7.5,5,西北西,5,14,01,5,,,26.4,8,西南西,8,2015,10,02,22.5,8,東,8,2016,08,31,2009
12011,北海道上川地方,中川（ナカガワ）,,2025,08,04,23,00,7.5,5,南南西,5,13,48,5,,,32.6,8,南西,8,2015,10,02,26.4,8,東北東,8,2016,08,30,2008
12041,北海道上川地方,音威子府（オトイネップ）,,2025,08,04,23,00,9.4,5,南,5,09,37,5,,,24.8,8,南西,8,2015,05,05,18.1,8,南南西,8,2020,08,11,2008
12141,北海道上川地方,美深（ビフカ）,,2025,08,04,23,00,7.9,5,南西,5,14,41,5,,,28.1,8,西南西,8,2015,10,02,16.6,8,南西,8,2010,08,06,2009
12181,北海道上川地方,名寄（ナヨロ）,,2025,08,04,23,00,8.6,5,南南西,5,13,44,5,,,25.9,8,西南西,8,2015,10,02,18.5,8,東,8,2016,08,30,2008
12231,北海道上川地方,下川（シモカワ）,,2025,08,04,23,00,8.0,5,西,5,13,10,5,,,25.9,8,南西,8,2010,03,21,19.3,8,西南西,8,2016,08,17,2009
12261,北海道上川地方,士別（シベツ）,,2025,08,04,23,00,7.8,5,南,5,11,03,5,,,24.0,8,西南西,8,2015,10,02,17.2,8,東,8,2016,08,30,2008
12266,北海道上川地方,朝日（アサヒ）,,2025,08,04,23,00,7.9,5,南西,5,12,13,5,,,28.1,8,西南西,8,2015,10,02,22.3,8,西,8,2020,08,11,2008
12301,北海道上川地方,和寒（ワッサム）,,2025,08,04,23,00,7.8,5,南西,5,11,00,5,,,23.6,8,南南西,8,2010,03,21,21.3,8,南,8,2020,08,07,2008
12386,北海道上川地方,江丹別（エタンベツ）,,2025,08,04,23,00,7.1,5,南西,5,13,20,5,,,27.7,8,西,8,2010,03,21,18.7,8,南,8,2020,08,07,2008
12396,北海道上川地方,比布（ピップ）,,2025,08,04,23,00,10.0,5,南南西,5,10,03,5,,,27.6,8,南西,8,2017,11,11,21.8,8,南南東,8,2020,08,07,2008
12411,北海道上川地方,上川（カミカワ）,,2025,08,04,23,00,10.1,5,西,5,11,28,5,,,27.8,8,東,8,2017,04,18,25.4,8,南西,8,2020,08,07,2009
12442,北海道上川地方,旭川（アサヒカワ）,47407,2025,08,04,23,00,9.1,5,南西,5,11,02,5,,,34.1,8,西南西,8,2010,03,21,26.3,8,南南西,8,1981,08,23,1942
12451,北海道上川地方,東川（ヒガシカワ）,,2025,08,04,23,00,9.9,5,南西,5,11,43,5,,,25.3,8,西南西,8,2015,10,02,20.6,8,南,8,2023,08,17,2008
12501,北海道上川地方,東神楽（ヒガシカグラ）,,2025,08,04,23,00,10.3,5,南南西,5,09,18,5,,,27.8,8,南南東,8,2018,09,05,22.6,8,南,8,2020,08,07,2009
12512,北海道上川地方,志比内（シビナイ）,,2025,08,04,23,00,8.1,5,南南西,5,11,48,5,,,25.9,8,東南東,8,2018,09,05,20.0,8,南東,8,2020,08,07,2008
12551,北海道上川地方,美瑛（ビエイ）,,2025,08,04,23,00,8.0,5,南,5,10,38,5,,,31.5,8,南東,8,2015,03,10,21.3,8,南,8,2020,08,07,2008
12596,北海道上川地方,上富良野（カミフラノ）,,2025,08,04,23,00,10.4,5,南,5,10,48,5,,,27.1,8,南,8,2020,08,07,27.1,8,南,8,2020,08,07,2008
12626,北海道上川地方,富良野（フラノ）,,2025,08,04,23,00,9.8,5,南,5,11,35,5,,,27.1,8,西南西,8,2010,03,21,20.7,8,南,8,2020,08,07,2008
12632,北海道上川地方,麓郷（ロクゴウ）,,2025,08,04,23,00,7.8,5,南東,5,09,22,5,,,27.1,8,東南東,8,2013,04,07,26.2,8,南南東,8,2020,08,07,2008
12691,北海道上川地方,幾寅（イクトラ）,,2025,08,04,23,00,6.3,5,東南東,5,15,53,5,,,24.6,8,西南西,8,2010,03,21,20.6,8,南,8,2020,08,07,2008
12746,北海道上川地方,占冠（シムカップ）,,2025,08,04,23,00,7.8,5,西,5,14,03,5,,,23.0,8,南東,8,2018,09,05,16.4,8,北西,8,2016,08,17,2009
15041,北海道上川地方,朱鞠内（シュマリナイ）,,2025,08,04,23,00,7.9,5,南南東,5,09,50,5,,,25.9,8,南,8,2015,10,02,15.9,8,南南西,8,2023,08,17,2008
15076,北海道上川地方,幌加内（ホロカナイ）,,2025,08,04,23,00,10.0,5,南西,5,13,08,5,,,27.7,8,西,8,2010,03,21,18.7,8,南南西,8,2020,08,07,2009
13061,北海道留萌地方,天塩（テシオ）,,2025,08,04,23,00,10.5,5,南南西,5,16,17,5,,,36.8,8,南南西,8,2015,10,02,30.4,8,南南西,8,2023,08,17,2008
